Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.82      1.67     0.02  1858574     0.00     0.00  bool __gnu_cxx::operator!=<GraphEdge*, std::vector<GraphEdge, std::allocator<GraphEdge> > >(__gnu_cxx::__normal_iterator<GraphEdge*, std::vector<GraphEdge, std::allocator<GraphEdge> > > const&, __gnu_cxx::__normal_iterator<GraphEdge*, std::vector<GraphEdge, std::allocator<GraphEdge> > > const&)
  0.82      1.69     0.02  1038500     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.82      1.71     0.02   263868     0.00     0.00  Graph::addEdge(int, int, double)
  0.82      1.73     0.02   263868     0.00     0.00  void std::_Construct<std::pair<int, double>, std::pair<int, double> const&>(std::pair<int, double>*, std::pair<int, double> const&)
  0.82      1.75     0.02   263838     0.00     0.00  std::tuple_element<0ul, std::tuple<int const&> >::type& std::get<0ul, int const&>(std::tuple<int const&>&)
  0.82      1.77     0.02      212     0.09     3.19  DeltaSteppingParallel2::collectEdges(std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >&, bool)
  0.62      1.78     0.01  5022635     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<int const, double>, false, false>::_Node_const_iterator(std::__detail::_Hash_node<std::pair<int const, double>, false>*)
  0.62      1.80     0.01  3986044     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.62      1.81     0.01  3411744     0.00     0.00  void std::allocator_traits<std::allocator<std::pair<int, double> > >::destroy<std::pair<int, double> >(std::allocator<std::pair<int, double> >&, std::pair<int, double>*)
  0.62      1.83     0.01  3106012     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, double> >::_M_ptr() const
  0.62      1.84     0.01  2779875     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.62      1.86     0.01  2511313     0.00     0.00  std::_Hashtable<int, std::pair<int const, double>, std::allocator<std::pair<int const, double> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end() const
  0.62      1.88     0.01  1993016     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.62      1.89     0.01  1972179     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
  0.62      1.91     0.01  1796410     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::operator->() const
  0.62      1.92     0.01  1319340     0.00     0.00  void std::allocator_traits<std::allocator<GraphEdge> >::construct<GraphEdge, int&, int const&, double const&>(std::allocator<GraphEdge>&, GraphEdge*, int&, int const&, double const&)
  0.62      1.94     0.01  1113562     0.00     0.00  void std::_Construct<std::pair<int, double>, std::pair<int, double>&>(std::pair<int, double>*, std::pair<int, double>&)
  0.62      1.95     0.01  1070409     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::__normal_iterator(std::pair<int, double>* const&)
  0.62      1.97     0.01   919479     0.00     0.00  std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >::end()
  0.62      1.98     0.01   539138     0.00     0.00  void std::allocator_traits<std::allocator<GraphEdge> >::construct<GraphEdge, int&, int&, double>(std::allocator<GraphEdge>&, GraphEdge*, int&, int&, double&&)
  0.41      1.99     0.01  4036308     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::base() const
  0.41      2.00     0.01  3334072     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
  0.41      2.01     0.01  2547130     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_M_cget() const
  0.41      2.02     0.01  2511319     0.00     0.00  std::__detail::operator!=(std::__detail::_Node_iterator_base<std::pair<int const, double>, false> const&, std::__detail::_Node_iterator_base<std::pair<int const, double>, false> const&)
  0.41      2.03     0.01  2511308     0.00     0.00  Graph::getEdgeWeight(int, int) const
  0.41      2.04     0.01  2473355     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::operator++()
  0.41      2.05     0.01  2471057     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >(__gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > > const&)
  0.41      2.06     0.01  2058914     0.00     0.00  __gthread_active_p()
  0.41      2.07     0.01  1858478     0.00     0.00  GraphEdge::GraphEdge(int, int, double)
  0.41      2.08     0.01  1858478     0.00     0.00  __gnu_cxx::__normal_iterator<GraphEdge*, std::vector<GraphEdge, std::allocator<GraphEdge> > >::operator++()
  0.41      2.09     0.01  1858478     0.00     0.00  GraphEdge::getWeight() const
  0.41      2.10     0.01  1168689     0.00     0.00  std::vector<std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >, std::allocator<std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > > >::operator[](unsigned long)
  0.41      2.11     0.01  1055352     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.41      2.12     0.01  1019309     0.00     0.00  std::mutex::unlock()
  0.41      2.13     0.01   539140     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.41      2.14     0.01   263868     0.00     0.00  std::pair<std::__strip_reference_wrapper<std::decay<int&>::type>::__type, std::__strip_reference_wrapper<std::decay<double&>::type>::__type> std::make_pair<int&, double&>(int&, double&)
  0.41      2.15     0.01   263838     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, double>, false, false>::operator->() const
  0.41      2.16     0.01   263838     0.00     0.00  std::pair<int const, double>::pair<int const&>(std::piecewise_construct_t, std::tuple<int const&>, std::tuple<>)
  0.41      2.17     0.01   263838     0.00     0.00  std::tuple<int const&>::tuple(std::tuple<int const&>&&)
  0.41      2.18     0.01   263838     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, double>, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, double>, false> > >::_M_allocate_node<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  0.41      2.19     0.01   150120     0.00     0.00  std::vector<int, std::allocator<int> >::_S_use_relocate()
  0.41      2.20     0.01    75081     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.41      2.21     0.01    75060     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.41      2.22     0.01    26591     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::deallocate(std::_Rb_tree_node<int>*, unsigned long)
  0.41      2.23     0.01      125     0.08     0.08  std::_Vector_base<std::thread, std::allocator<std::thread> >::_Vector_impl::_Vector_impl()
  0.41      2.24     0.01       24     0.42     0.42  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.41      2.25     0.01       16     0.62    15.53  DeltaSteppingParallel2::classifyEdges()
  0.41      2.26     0.01        4     2.50    34.05  dijkstra(Graph const&, int)
  0.41      2.27     0.01        2     5.00   213.07  createDenseGraph(int, double, double, double)
  0.21      2.27     0.01  5017688     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::base() const
  0.21      2.28     0.01  4394189     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.21      2.29     0.01  3958320     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.21      2.29     0.01  3720208     0.00     0.00  __gnu_cxx::__normal_iterator<GraphEdge*, std::vector<GraphEdge, std::allocator<GraphEdge> > >::base() const
  0.21      2.29     0.01  3334077     0.00     0.00  std::hash<int>::operator()(int) const
  0.21      2.30     0.01  3302862     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, double> >::_M_ptr()
  0.21      2.31     0.01  3106022     0.00     0.00  std::tuple_element<0ul, std::pair<int const, double> >::type const& std::get<0ul, int const, double>(std::pair<int const, double> const&)
  0.21      2.31     0.01  3106018     0.00     0.00  int const& std::__pair_get<0ul>::__const_get<int const, double>(std::pair<int const, double> const&)
  0.21      2.31     0.01  2511311     0.00     0.00  std::unordered_map<int, double, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, double> > >::end() const
  0.21      2.32     0.01  2443068     0.00     0.00  void std::allocator_traits<std::allocator<GraphEdge> >::destroy<GraphEdge>(std::allocator<GraphEdge>&, GraphEdge*)
  0.21      2.33     0.01  1858478     0.00     0.00  GraphEdge::getDestination() const
  0.21      2.33     0.01  1858478     0.00     0.00  GraphEdge::getSource() const
  0.21      2.33     0.01  1345846     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.21      2.34     0.01  1319340     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.21      2.35     0.01  1319340     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.21      2.35     0.01  1319340     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.21      2.35     0.01  1319340     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.21      2.36     0.01  1098748     0.00     0.00  std::pair<int, double>& std::forward<std::pair<int, double>&>(std::remove_reference<std::pair<int, double>&>::type&)
  0.21      2.37     0.01   263838     0.00     0.00  std::tuple<int const&>::tuple<true, true>(int const&)
  0.21      2.37     0.01   263838     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, double>, false> > >::_M_deallocate_node(std::__detail::_Hash_node<std::pair<int const, double>, false>*)
  0.21      2.38     0.01   208524     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right(std::_Rb_tree_node_base*)
  0.21      2.38     0.01   150120     0.00     0.00  std::vector<int, std::allocator<int> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.21      2.38     0.01    75060     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.21      2.39     0.01    41679     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.21      2.40     0.01     4694     0.00     0.00  std::_Hashtable<int, std::pair<int const, double>, std::allocator<std::pair<int const, double> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash(unsigned long, unsigned long const&)
  0.21      2.40     0.01     3304     0.00     0.00  std::pair<std::__strip_reference_wrapper<std::decay<double&>::type>::__type, std::__strip_reference_wrapper<std::decay<int&>::type>::__type> std::make_pair<double&, int&>(double&, int&)
  0.21      2.40     0.01     2340     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree_impl<std::less<int>, true>::_Rb_tree_impl()
  0.21      2.41     0.01     1530     0.00     0.00  __gnu_cxx::new_allocator<GraphEdge>::max_size() const
  0.21      2.42     0.01      694     0.01     0.01  std::tuple<void (DeltaSteppingParallel2::*)(std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > const&), DeltaSteppingParallel2*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::tuple<void (DeltaSteppingParallel2::*)(std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > const&), DeltaSteppingParallel2*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >, true, true>(void (DeltaSteppingParallel2::*&&)(std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > const&), DeltaSteppingParallel2*&&, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >&&)
