Vertex	Dijkstra	DeltaStepping	ParallelDeltaStepping
260	26.8371	26.8371	26.8371
261	21.9372	21.9372	21.9372
262	24.0703	24.0703	24.0703
263	25.0054	25.0054	25.0054
264	20.2775	20.2775	20.2775
265	25.0965	25.0965	25.0965
266	27.1454	27.1454	27.1454
267	31.2437	31.2437	31.2437
268	23.2459	23.2459	23.2459
269	20.3468	20.3468	20.3468
270	34.2088	34.2088	34.2088
271	35.6634	35.6634	35.6634
272	23.0214	23.0214	23.0214
273	28.5957	28.5957	28.5957
274	25.8537	25.8537	25.8537
275	25.0317	25.0317	25.0317
276	24.5988	24.5988	24.5988
277	27.136	27.136	27.136
278	28.3967	28.3967	28.3967
279	21.8701	21.8701	21.8701
280	24.67	24.67	24.67
281	27.4492	27.4492	27.4492
282	27.3172	27.3172	27.3172
283	16.737	16.737	16.737
284	17.2531	17.2531	17.2531
285	30.7611	30.7611	30.7611
286	19.2259	19.2259	19.2259
287	29.3908	29.3908	29.3908
288	28.9084	28.9084	28.9084
289	22.7686	22.7686	22.7686
290	25.0143	25.0143	25.0143
291	15.2562	15.2562	15.2562
292	22.6372	22.6372	22.6372
293	27.8762	27.8762	27.8762
294	21.2524	21.2524	21.2524
295	18.8191	18.8191	18.8191
296	27.8303	27.8303	27.8303
297	26.747	26.747	26.747
298	25.6237	25.6237	25.6237
299	24.4703	24.4703	24.4703
300	21.0864	21.0864	21.0864
301	20.2587	20.2587	20.2587
302	22.8385	22.8385	22.8385
303	21.2362	21.2362	21.2362
304	26.0248	26.0248	26.0248
305	26.5897	26.5897	26.5897
306	21.9016	21.9016	21.9016
307	11.8594	11.8594	11.8594
308	30.8166	30.8166	30.8166
309	23.4292	23.4292	23.4292
310	25.4286	25.4286	25.4286
311	26.3947	26.3947	26.3947
312	23.211	23.211	23.211
313	23.492	23.492	23.492
314	28.7795	28.7795	28.7795
315	25.5068	25.5068	25.5068
316	22.4907	22.4907	22.4907
317	23.3327	23.3327	23.3327
318	23.0632	23.0632	23.0632
319	22.7397	22.7397	22.7397
320	34.4958	34.4958	34.4958
321	30.9749	30.9749	30.9749
